id,x,y,z,flux,temperature
0,1022.9157,1010.3057,0.0000,352.9276,6544.5
1,937.1568,1013.4454,0.0000,103.4982,20454.2
2,1050.5993,1021.7643,0.0000,186.4908,15220.8
3,1015.5490,1031.4912,0.0000,156.9391,29154.6
4,1025.4940,1068.3110,0.0000,175.0709,21451.2
5,1006.0216,1008.5008,0.0000,389.8039,18331.8
6,1016.7391,993.0294,0.0000,605.2961,5370.9
7,1094.9273,1061.9761,0.0000,160.5641,6627.3
8,1067.0450,1226.5204,0.0000,215.8592,27595.8
9,1127.7921,981.6230,0.0000,129.3812,8172.5
10,1024.0117,1024.1249,0.0000,373.3020,26076.7
11,1018.1046,987.3113,0.0000,186.1040,10987.8
12,1016.0127,1002.4056,0.0000,410.1608,8654.0
13,925.5880,1082.6656,0.0000,179.6897,25983.8
14,870.1413,990.4903,0.0000,102.1648,17348.7
15,989.1501,994.5599,0.0000,228.3450,24511.9
16,976.2058,1026.0399,0.0000,209.9212,11730.3
17,1025.4115,999.2098,0.0000,225.3235,21828.8
18,1030.9417,1043.6552,0.0000,139.4511,9596.2
19,1012.1124,1027.0415,0.0000,112.3926,23350.1
20,1023.0208,1026.7053,0.0000,117.1662,10131.4
21,1025.2916,1022.4666,0.0000,138.8150,28676.6
22,1023.2250,1037.5275,0.0000,242.0701,8781.5
23,968.8425,1017.4981,0.0000,341.5954,26940.0
24,1045.8490,1030.6680,0.0000,2214.0939,17910.5
25,1063.1722,871.2483,0.0000,165.0502,9498.7
26,1045.7246,1010.1663,0.0000,112.6809,29636.2
27,1010.9955,991.0117,0.0000,117.6675,26303.0
28,1028.9954,1003.4182,0.0000,131.0823,17100.9
29,997.6193,1049.1115,0.0000,161.1380,14924.2
30,1006.0381,1043.8868,0.0000,162.2788,12874.7
31,1020.2623,1016.8292,0.0000,328.5591,10388.3
32,997.9495,1038.2111,0.0000,102.7409,10356.1
33,1037.5167,1021.3135,0.0000,415.6260,11958.7
34,945.2168,1006.4922,0.0000,201.4639,22625.7
35,1015.4183,1029.2530,0.0000,284.2007,24496.0
36,1044.9282,1010.6387,0.0000,131.5643,16975.7
37,1019.1441,1034.6676,0.0000,136.5201,15909.3
38,1041.8355,968.6697,0.0000,100.4109,7390.2
39,1053.8086,1061.2640,0.0000,129.6112,15884.2
40,1039.7208,1023.2539,0.0000,3276.7961,17976.9
41,1032.9466,1034.2827,0.0000,236.9464,8902.7
42,1039.3786,1016.7269,0.0000,459.7897,19321.7
43,1063.9914,1000.2146,0.0000,737.2983,20716.9
44,1028.7612,1004.5332,0.0000,410.4735,7661.0
45,946.5526,968.4083,0.0000,232.5628,10681.9
46,1122.7061,952.8332,0.0000,572.3851,19529.1
47,1046.7744,1001.9344,0.0000,105.3895,25402.5
48,1025.8335,1019.3276,0.0000,114.2872,17216.9
49,999.5429,1023.0502,0.0000,131.7954,10039.3
50,1051.2901,1033.5103,0.0000,137.0938,26506.2
51,1016.8143,1054.2544,0.0000,1281.8751,11940.3
52,1006.8190,1050.9628,0.0000,110.1881,11449.8
53,956.3079,962.3424,0.0000,309.8178,20015.4
54,990.8399,1020.3909,0.0000,181.1188,18737.5
55,1027.8893,1017.8963,0.0000,201.9995,16026.1
56,1031.4368,1020.2865,0.0000,110.7418,14699.5
57,1120.5330,1121.0836,0.0000,373.9100,6002.0
58,1060.6044,993.6389,0.0000,101.3852,8601.7
59,1036.4088,1014.1554,0.0000,215.4213,21321.4
60,1022.5338,1017.3309,0.0000,134.9886,6513.7
61,1023.6891,1025.6469,0.0000,136.4355,26509.3
62,1077.6823,977.7217,0.0000,285.2248,5854.9
63,1096.9019,1008.0973,0.0000,105.7580,16052.6
64,1016.1132,1018.5922,0.0000,304.5936,10168.4
65,1067.0030,1057.7716,0.0000,2750.8830,16357.2
66,1019.4551,1017.4719,0.0000,165.2116,6127.6
67,1027.8106,1030.9853,0.0000,148.9676,20961.2
68,1042.6975,995.3823,0.0000,172.5137,20863.6
69,1010.1096,1028.4535,0.0000,128.8311,10315.6
70,999.4727,1030.8373,0.0000,112.1662,27165.9
71,1032.5639,1009.9632,0.0000,152.0938,21244.4
72,993.4687,1066.3518,0.0000,213.6966,6963.6
73,1037.4401,1018.6408,0.0000,179.5771,21706.4
74,1059.6043,1002.4223,0.0000,528.4022,23834.4
75,1040.8361,1010.2778,0.0000,411.0022,24430.9
76,1014.7368,1028.6640,0.0000,162.6794,8275.1
77,1068.4958,1080.0046,0.0000,101.6775,28995.3
78,951.8682,953.8912,0.0000,202.3193,27571.0
79,992.7569,1060.8493,0.0000,153.2132,25624.3
80,1023.3995,1001.5842,0.0000,1774.1184,20449.8
81,1038.0854,983.3476,0.0000,232.1364,11926.2
82,1031.8388,1031.1444,0.0000,258.5980,7349.5
83,1011.5241,987.3396,0.0000,232.1453,7599.1
84,1003.4974,1069.6572,0.0000,1542.3954,23099.2
85,1054.0813,943.8256,0.0000,148.1876,9939.5
86,990.2241,1046.1427,0.0000,250.2974,6055.1
87,1013.3524,1026.8740,0.0000,129.6683,26108.1
88,992.6014,978.5518,0.0000,258.7409,19370.0
89,1011.8626,1029.5964,0.0000,900.1449,25408.7
90,1054.1026,988.3885,0.0000,314.4316,26069.8
91,1010.6854,1022.2094,0.0000,269.7955,29605.5
92,1021.7903,983.9299,0.0000,126.9752,7479.5
93,1054.0673,1023.2971,0.0000,296.6615,13480.7
94,1075.3624,1072.4303,0.0000,219.5686,20914.0
95,1029.9611,1030.0339,0.0000,707.9729,15502.8
96,1008.9756,1033.4182,0.0000,128.9052,15793.6
97,1013.6803,1020.2151,0.0000,106.7704,21969.5
98,985.9346,1196.3538,0.0000,149.1913,8428.9
99,1032.4563,1068.8006,0.0000,138.1002,20581.0
100,1031.0122,1023.9364,0.0000,113.5590,24685.2
101,938.9312,1079.5927,0.0000,100.7972,12651.8
102,1064.4171,966.7589,0.0000,133.7694,22403.3
103,1019.1266,1078.4671,0.0000,138.3562,17768.0
104,1031.4487,1032.3523,0.0000,185.3838,19032.4
105,1000.8738,1048.1622,0.0000,137.1040,3666.8
106,1035.1995,1052.6414,0.0000,193.4027,22399.8
107,1018.2037,1031.0261,0.0000,114.3793,11257.2
108,1041.4851,1076.9158,0.0000,115.0076,7449.3
109,1078.4496,1017.5784,0.0000,111.4742,23692.9
110,1007.3993,1046.8373,0.0000,191.2059,12087.3
111,983.8111,987.2477,0.0000,964.2219,4775.9
112,1020.3947,1019.1462,0.0000,371.3150,29711.2
113,1037.5322,1040.5195,0.0000,334.3431,24774.8
114,1025.7231,1022.9125,0.0000,120.1096,7156.4
115,1050.8552,1143.0985,0.0000,186.0803,18759.4
116,1023.2691,1005.3537,0.0000,140.0100,28459.1
117,991.8315,1026.1877,0.0000,110.0011,7876.1
118,1027.4008,1021.6363,0.0000,161.2869,9442.7
119,965.0226,1023.8341,0.0000,450.6967,14296.1
120,1046.9299,1015.1103,0.0000,364.1291,26510.1
121,984.5363,1016.2234,0.0000,186.7277,19164.2
122,1024.5859,1025.4065,0.0000,124.6387,21408.3
123,1010.1043,1026.2584,0.0000,128.0563,17316.5
124,1023.3116,1020.7721,0.0000,171.1769,12811.3
125,971.0528,1083.3648,0.0000,156.9700,8753.9
126,993.5592,1139.8384,0.0000,412.2000,27154.6
127,1070.4441,957.0339,0.0000,134.0370,8438.2
128,1075.3868,1158.5206,0.0000,108.6573,29357.1
129,1022.8608,1009.4667,0.0000,147.0152,10395.4
130,1021.4539,1024.1231,0.0000,648.6396,6954.4
131,952.9895,1048.3816,0.0000,522.7472,19069.7
132,1121.3085,1143.9390,0.0000,130.7137,16870.7
133,1016.8602,1018.9499,0.0000,169.9055,8945.7
134,999.8246,1160.2231,0.0000,185.8124,26323.3
135,1000.5068,1050.9314,0.0000,512.5554,16971.8
136,1001.8549,1017.7264,0.0000,142.5255,24067.7
137,1046.0200,1043.0753,0.0000,131.7704,10284.8
138,1046.8018,970.7757,0.0000,237.2592,19602.3
139,1026.1080,1025.6286,0.0000,117.1188,8353.8
140,981.0651,1167.8197,0.0000,103.2627,15909.3
141,916.4526,1058.2054,0.0000,128.9874,21058.0
142,1023.9723,1024.0935,0.0000,298.9367,15549.2
143,1041.4015,1050.9686,0.0000,255.0522,17665.0
144,1026.8676,1012.6090,0.0000,279.7467,25497.9
145,1069.9405,1022.2790,0.0000,124.8947,13573.1
146,858.7322,1027.9672,0.0000,109.3160,29876.6
147,1046.0211,1023.4666,0.0000,838.2331,23168.0
148,944.0152,1051.0242,0.0000,446.8641,24886.0
149,1012.7351,995.6111,0.0000,199.7284,16590.8
150,1037.1123,1017.0483,0.0000,848.1815,25426.4
151,825.6869,1104.1985,0.0000,434.4168,6744.8
152,1025.7322,1024.4336,0.0000,214.4229,11188.7
153,995.6989,1006.4752,0.0000,220.0066,26498.1
154,1040.4604,1025.6822,0.0000,170.4525,4809.4
155,1071.3440,1094.1078,0.0000,200.2466,24418.6
156,1083.4406,1020.3423,0.0000,110.3147,16302.8
157,1016.3061,1074.9001,0.0000,170.6437,19462.1
158,1077.2974,1035.6765,0.0000,200.3772,18038.1
159,1026.1315,1046.0601,0.0000,122.4070,24046.6
160,831.4679,1017.8722,0.0000,123.4781,5617.5
161,1048.8119,1040.3414,0.0000,204.9403,3408.5
162,1018.1516,1025.3690,0.0000,1367.7764,8049.2
163,997.3325,1077.9881,0.0000,370.1727,14956.2
164,1101.1648,1118.5160,0.0000,126.0825,15546.7
165,1089.9716,1018.1391,0.0000,125.4148,29701.2
166,1022.3981,1032.5537,0.0000,101.0459,16339.4
167,1028.6708,1008.8236,0.0000,196.3223,9681.7
168,996.4980,1006.3773,0.0000,101.1599,10357.4
169,1051.4420,1018.9508,0.0000,109.8438,4517.5
170,1022.5685,1060.0003,0.0000,104.9180,15816.5
171,1038.3795,1045.2106,0.0000,237.2999,4707.8
172,1040.7205,1011.5122,0.0000,154.5909,18992.3
173,985.4781,997.4159,0.0000,354.0075,21350.6
174,993.4181,1047.8703,0.0000,121.4184,13805.4
175,1023.7579,1024.4610,0.0000,137.0530,27377.0
176,1007.6875,1034.6701,0.0000,456.8104,16437.7
177,1013.3953,1013.6502,0.0000,938.4522,27237.3
178,952.1998,925.3356,0.0000,113.5579,7390.4
179,1119.0766,861.9357,0.0000,129.4946,24238.5
180,1031.9496,1008.7099,0.0000,240.3627,22490.9
181,1048.5179,963.5122,0.0000,139.6232,21128.6
182,1027.1845,1022.3541,0.0000,277.2800,19305.0
183,1015.4917,1013.7941,0.0000,153.4463,26039.6
184,1050.9320,1071.8310,0.0000,139.8822,17429.2
185,1113.1678,1114.6965,0.0000,106.4980,19772.7
186,1000.4036,1012.0363,0.0000,248.6218,14320.4
187,1101.9779,983.5182,0.0000,119.1491,5707.6
188,1058.2515,1003.8267,0.0000,126.8468,21261.9
189,1087.9103,1060.7617,0.0000,131.6663,28931.9
190,1040.8142,1035.4379,0.0000,178.0584,13293.7
191,1054.1603,1043.0135,0.0000,232.7076,29880.9
192,1024.0205,1023.2312,0.0000,153.4379,10903.3
193,1049.8648,1009.0762,0.0000,158.7957,8374.9
194,1025.0034,1046.7131,0.0000,115.4329,24916.3
195,943.5602,970.6011,0.0000,190.5675,29473.0
196,1045.2472,1023.6141,0.0000,132.6714,3669.9
197,996.4653,1050.4469,0.0000,249.8835,13718.4
198,1077.8300,966.2600,0.0000,199.2061,14530.5
199,979.0898,1071.7341,0.0000,246.7838,24941.7
200,1037.7387,1052.3197,0.0000,119.6202,8045.8
201,1075.1622,1139.0655,0.0000,119.3427,27821.1
202,1012.4060,1022.0756,0.0000,172.5632,24250.3
203,1208.3293,1084.5525,0.0000,154.6484,3386.7
204,1053.4114,1110.0769,0.0000,155.9818,16220.5
205,1081.1208,990.1630,0.0000,146.5826,9941.1
206,969.8303,992.6033,0.0000,104.4731,24442.5
207,1026.6974,1025.7078,0.0000,132.6112,22421.2
208,1016.6408,1021.2073,0.0000,118.1479,11299.9
209,1008.8665,983.0569,0.0000,640.2402,8330.2
210,1036.5095,1110.6074,0.0000,117.9080,9979.1
211,1012.7130,1035.3642,0.0000,804.2459,17614.1
212,732.9867,1090.7280,0.0000,115.4139,4613.1
213,1079.1459,1113.0501,0.0000,160.9623,15331.7
214,1077.0780,1114.4333,0.0000,156.7659,17015.5
215,979.0394,1014.7021,0.0000,176.1780,21787.7
216,1022.9128,1028.7531,0.0000,113.8343,5182.2
217,855.5050,1021.0702,0.0000,137.9510,26883.0
218,997.8514,1005.7843,0.0000,122.3257,7476.8
219,983.4642,1060.4078,0.0000,254.6642,13787.4
220,1027.3907,1019.2595,0.0000,141.2160,29138.5
221,1019.0123,1030.6365,0.0000,129.0409,13165.4
222,1000.9396,1072.5670,0.0000,404.5918,6075.6
223,1000.3448,1062.3107,0.0000,104.7928,14736.9
224,1014.8428,1024.4802,0.0000,106.4992,21407.9
225,1007.4047,1035.9133,0.0000,142.6207,20568.4
226,1024.1410,1026.9152,0.0000,407.1083,20799.2
227,1061.1736,1088.8183,0.0000,357.4270,18922.7
228,1018.1929,1027.5142,0.0000,109.8192,15359.3
229,1054.7499,989.6607,0.0000,113.3130,16444.8
230,1008.8768,1006.4638,0.0000,199.0284,17773.3
231,1004.2975,1019.6106,0.0000,623.1321,7357.0
232,1068.8568,1010.9739,0.0000,118.7783,24552.2
233,1007.9652,994.3824,0.0000,566.8101,13650.2
234,1004.8831,1022.1132,0.0000,148.0811,29050.0
235,1014.9245,1010.7646,0.0000,176.7228,23280.4
236,1016.0025,1016.9294,0.0000,101.9699,18082.9
237,977.0992,861.4426,0.0000,144.2731,20478.9
238,977.4244,1060.6965,0.0000,167.6553,4668.7
239,1021.3520,1023.8484,0.0000,147.5951,13836.3
240,1007.8707,1042.0403,0.0000,125.7024,16731.3
241,1016.0232,1046.7208,0.0000,277.9185,20706.2
242,1067.5681,1032.1898,0.0000,107.9391,9258.3
243,1051.9083,989.6946,0.0000,227.5024,11392.7
244,1166.9979,952.5587,0.0000,179.7186,21233.7
245,1056.0695,1032.3852,0.0000,155.3342,11395.1
246,1033.2583,1004.8894,0.0000,100.5060,4980.4
247,1026.3053,1040.9058,0.0000,272.2568,26064.2
248,1024.2092,1042.4768,0.0000,1239.2825,5460.7
249,904.3614,1037.1597,0.0000,168.5278,14983.1
250,1032.4740,1056.5412,0.0000,133.1041,12802.5
251,1041.6780,995.2760,0.0000,154.7743,16717.5
252,984.9869,1023.2600,0.0000,147.9071,13484.8
253,989.0355,1077.0107,0.0000,109.9655,16438.6
254,1034.3695,1024.9972,0.0000,227.3543,17349.9
255,1023.7663,1046.8291,0.0000,131.5419,11889.6
256,1016.9356,1050.0218,0.0000,451.8858,13521.6
257,1100.1327,1081.5006,0.0000,154.0257,29989.5
258,1006.5955,1037.9303,0.0000,452.2484,9876.6
259,1015.1650,1015.1332,0.0000,103.8393,12147.6
260,1062.3358,1044.0706,0.0000,123.3207,4679.3
261,1056.4852,1005.6869,0.0000,103.8837,9718.7
262,849.1460,848.6692,0.0000,128.1634,28870.9
263,876.5536,1105.7615,0.0000,109.3246,7441.7
264,1015.1990,1078.4488,0.0000,259.8903,10388.6
265,1003.8979,1009.9501,0.0000,146.3001,4654.3
